날짜,회사명,시가,최고가,최저가,종가,거래량
2024년 6월 17일,삼성전자,79200₩,79500₩,78000₩,78100₩,16123051₩
2024년 6월 17일,SK하이닉스,219000₩,229500₩,219000₩,223000₩,2198340₩
2024년 6월 17일,NVIDIA,132.9900$,133.7300$,129.5800$,130.9800$,288504444$
2024년 6월 17일,AMD,158.0000$,159.2300$,154.1350$,158.4000$,44507742$
2024년 6월 18일,삼성전자,78700₩,80200₩,78600₩,79800₩,18207598₩
2024년 6월 18일,SK하이닉스,227000₩,234500₩,227000₩,234500₩,3136231₩
2024년 6월 18일,NVIDIA,131.2400$,135.5300$,130.7000$,135.4800$,128892093$
2024년 6월 18일,AMD,156.9900$,157.2097$,153.3400$,154.0450$,27150609$
