날짜,회사명,시가,최고가,최저가,종가,거래량
2021년 11월 19일,AMD,155.7600$,156.9200$,153.4450$,155.4100$,41668862$
2021년 11월 19일,SK하이닉스,110000₩,112500₩,110000₩,111500₩,2324668₩
2021년 11월 19일,NVIDIA,32.1905$,33.0342$,31.8531$,32.9313$,53386665$
2021년 11월 22일,SK하이닉스,116500₩,121000₩,116000₩,119500₩,9786492₩
2021년 11월 22일,삼성전자,73300₩,75200₩,73000₩,74900₩,27506624₩
2021년 11월 22일,AMD,157.1400$,161.8799$,152.3900$,152.5200$,58674078$
2021년 11월 22일,NVIDIA,33.4625$,34.5906$,31.8481$,31.9040$,75433524$
2021년 11월 23일,삼성전자,76000₩,76000₩,74500₩,75300₩,22029196₩
2021년 11월 23일,AMD,150.4100$,152.6600$,145.2996$,149.9200$,62852705$
2021년 11월 23일,SK하이닉스,119500₩,121000₩,117500₩,119000₩,4847270₩
2021년 11월 23일,NVIDIA,31.4837$,32.3074$,30.8298$,31.6944$,53216270$
2021년 11월 24일,삼성전자,76000₩,76200₩,74100₩,74800₩,15652305₩
2021년 11월 24일,NVIDIA,31.4098$,32.8016$,30.8777$,32.6208$,43516226$
2021년 11월 24일,AMD,149.4600$,157.9300$,147.1900$,157.8000$,60677062$
2021년 11월 24일,SK하이닉스,120500₩,122500₩,118000₩,119500₩,4001111₩
2021년 11월 25일,삼성전자,75100₩,75100₩,73600₩,73700₩,12559258₩
2021년 11월 25일,SK하이닉스,120500₩,121000₩,117000₩,117500₩,3339835₩
2021년 11월 26일,AMD,155.8000$,158.1000$,152.8100$,154.8100$,36245068$
2021년 11월 26일,SK하이닉스,116500₩,118500₩,113000₩,115500₩,4337936₩
2021년 11월 26일,NVIDIA,32.5470$,32.6568$,31.2990$,31.4518$,28306886$
2021년 11월 26일,삼성전자,73500₩,74100₩,72000₩,72300₩,13002242₩
2021년 11월 29일,AMD,157.5000$,162.5050$,156.1000$,161.9100$,57438867$
2021년 11월 29일,삼성전자,71700₩,73000₩,71400₩,72300₩,16682559₩
2021년 11월 29일,SK하이닉스,113000₩,118500₩,113000₩,116000₩,4412863₩
2021년 11월 29일,NVIDIA,32.3133$,33.3576$,31.9839$,33.3217$,45496398$
2021년 11월 30일,AMD,163.2800$,164.4599$,155.6801$,158.3700$,75182545$
2021년 11월 30일,삼성전자,73200₩,73900₩,70500₩,71300₩,30364840₩
2021년 11월 30일,SK하이닉스,118000₩,119000₩,112500₩,114000₩,7449608₩
2021년 11월 30일,NVIDIA,33.1150$,33.2987$,31.8122$,32.6228$,62206647$
2021년 12월 1일,삼성전자,72000₩,74800₩,71600₩,74400₩,21954856₩
2021년 12월 1일,NVIDIA,33.1695$,33.2392$,31.3328$,31.3877$,48580204$
2021년 12월 1일,AMD,160.3700$,160.8800$,148.9200$,149.1100$,64185119$
2021년 12월 1일,SK하이닉스,114500₩,117500₩,112000₩,116500₩,4214135₩
2021년 12월 2일,NVIDIA,31.1670$,32.4291$,30.9783$,32.0777$,47289033$
2021년 12월 2일,삼성전자,73900₩,75800₩,73800₩,75800₩,23652940₩
2021년 12월 2일,SK하이닉스,115500₩,120500₩,115000₩,120000₩,6980518₩
2021년 12월 2일,AMD,147.6750$,152.5300$,146.4700$,150.6800$,56161216$
2021년 12월 3일,AMD,151.6450$,152.3800$,140.7200$,144.0100$,65910028$
2021년 12월 3일,NVIDIA,31.9518$,32.0806$,30.0847$,30.6468$,54432505$
2021년 12월 3일,삼성전자,75600₩,76000₩,74100₩,75600₩,18330240₩
2021년 12월 3일,SK하이닉스,119000₩,119500₩,115500₩,118000₩,4567843₩
2021년 12월 6일,AMD,141.1350$,141.3100$,134.2000$,139.0600$,66776493$
2021년 12월 6일,NVIDIA,29.8350$,30.1955$,27.9958$,29.9918$,65893845$
2021년 12월 6일,SK하이닉스,116000₩,119000₩,115500₩,118500₩,4318893₩
2021년 12월 6일,삼성전자,75100₩,76700₩,74900₩,76300₩,16391250₩
2021년 12월 7일,AMD,143.9000$,145.7600$,141.0001$,144.8500$,53359432$
2021년 12월 7일,SK하이닉스,119000₩,122500₩,118000₩,121500₩,5112025₩
2021년 12월 7일,삼성전자,76100₩,77700₩,75600₩,77400₩,19232452₩
2021년 12월 7일,NVIDIA,30.9104$,32.4002$,30.6049$,32.3782$,59305348$
2021년 12월 8일,NVIDIA,31.9508$,32.2414$,31.3737$,31.7781$,47555145$
2021년 12월 8일,AMD,144.9600$,147.0400$,142.7000$,145.2400$,40977478$
2021년 12월 8일,삼성전자,78300₩,78600₩,77100₩,77400₩,21558340₩
2021년 12월 8일,SK하이닉스,124000₩,125000₩,119500₩,120000₩,6168137₩
2021년 12월 9일,AMD,145.1600$,146.6900$,137.8000$,138.1000$,53019926$
2021년 12월 9일,SK하이닉스,120500₩,123500₩,119000₩,123500₩,5631833₩
2021년 12월 9일,NVIDIA,31.6862$,32.1565$,30.3822$,30.4441$,48850716$
2021년 12월 9일,삼성전자,77400₩,78200₩,77000₩,78200₩,21604528₩
2021년 12월 10일,AMD,141.2900$,141.3650$,135.8200$,138.5500$,42224275$
2021년 12월 10일,삼성전자,77400₩,77600₩,76800₩,76900₩,9155219₩
2021년 12월 10일,NVIDIA,31.1031$,31.2579$,29.8161$,30.1526$,48882509$
2021년 12월 10일,SK하이닉스,120500₩,121500₩,119500₩,120500₩,2512642₩
2021년 12월 13일,삼성전자,77200₩,78300₩,76500₩,76800₩,15038750₩
2021년 12월 13일,AMD,138.2500$,139.4000$,133.4150$,133.8000$,42173963$
2021년 12월 13일,NVIDIA,30.2035$,30.2484$,28.0737$,28.1186$,59834366$
2021년 12월 13일,SK하이닉스,121000₩,124000₩,121000₩,121500₩,3329176₩
2021년 12월 14일,NVIDIA,27.6573$,28.6348$,27.2090$,28.2944$,66703537$
2021년 12월 14일,AMD,131.6700$,137.2400$,130.6000$,135.6000$,50754642$
2021년 12월 14일,삼성전자,76500₩,77200₩,76200₩,77000₩,10976660₩
2021년 12월 14일,SK하이닉스,120500₩,123000₩,120000₩,121000₩,2201003₩
2021년 12월 15일,NVIDIA,28.3573$,30.4541$,27.7961$,30.4132$,69829688$
2021년 12월 15일,AMD,135.1100$,146.6900$,133.8100$,146.5000$,72425783$
2021년 12월 15일,삼성전자,76400₩,77600₩,76300₩,77600₩,9584939₩
2021년 12월 15일,SK하이닉스,120000₩,123500₩,120000₩,123500₩,2681332₩
2021년 12월 16일,NVIDIA,31.1051$,31.1131$,28.0507$,28.3443$,70736595$
2021년 12월 16일,삼성전자,78500₩,78500₩,77400₩,77800₩,11996128₩
2021년 12월 16일,AMD,147.0000$,147.9300$,137.0200$,138.6400$,63369550$
2021년 12월 16일,SK하이닉스,125000₩,125500₩,122500₩,124000₩,3869086₩
2021년 12월 17일,삼성전자,76800₩,78000₩,76800₩,78000₩,13108479₩
2021년 12월 17일,NVIDIA,27.9429$,28.8785$,27.7182$,27.7592$,71662239$
2021년 12월 17일,AMD,136.3000$,142.0400$,136.1100$,137.7500$,55692280$
2021년 12월 17일,SK하이닉스,120500₩,123000₩,120500₩,122000₩,3850444₩
2021년 12월 20일,SK하이닉스,121500₩,123500₩,120500₩,120500₩,2846815₩
2021년 12월 20일,삼성전자,77600₩,77800₩,76800₩,77100₩,11264375₩
2021년 12월 20일,AMD,135.9700$,138.2600$,133.5200$,135.8000$,38195396$
2021년 12월 20일,NVIDIA,27.2639$,28.1016$,27.1041$,27.6773$,46184676$
2021년 12월 21일,삼성전자,77900₩,78300₩,77500₩,78100₩,14245298₩
2021년 12월 21일,NVIDIA,28.3313$,29.0762$,27.3598$,29.0312$,52438494$
2021년 12월 21일,SK하이닉스,124000₩,124500₩,122500₩,124500₩,3678590₩
2021년 12월 21일,AMD,138.1850$,144.5000$,135.1500$,144.2500$,57785243$
2021년 12월 22일,AMD,142.6500$,144.5000$,140.2700$,143.8800$,46923682$
2021년 12월 22일,삼성전자,78900₩,79400₩,78800₩,79400₩,17105892₩
2021년 12월 22일,SK하이닉스,127500₩,128500₩,126000₩,127000₩,3817689₩
2021년 12월 22일,NVIDIA,28.8475$,29.5105$,28.4062$,29.3558$,39518438$
2021년 12월 23일,삼성전자,79800₩,80000₩,79300₩,79900₩,13577498₩
2021년 12월 23일,SK하이닉스,129000₩,129000₩,126500₩,127500₩,2398358₩
2021년 12월 23일,NVIDIA,29.7102$,30.0138$,29.3867$,29.5954$,34302174$
2021년 12월 23일,AMD,143.8900$,149.0180$,143.8500$,146.1400$,48653789$
2021년 12월 24일,SK하이닉스,129000₩,130000₩,128000₩,128000₩,2462683₩
2021년 12월 24일,삼성전자,80200₩,80800₩,80200₩,80500₩,12086380₩
2021년 12월 27일,NVIDIA,29.6154$,31.0397$,29.5954$,30.8984$,40368587$
2021년 12월 27일,SK하이닉스,128500₩,129000₩,126000₩,126000₩,2684135₩
2021년 12월 27일,삼성전자,80600₩,80600₩,79800₩,80200₩,10783368₩
2021년 12월 27일,AMD,147.5100$,154.8900$,147.2500$,154.3600$,53296375$
2021년 12월 28일,SK하이닉스,126500₩,128000₩,124500₩,127500₩,4086063₩
2021년 12월 28일,AMD,155.8800$,156.7300$,151.3800$,153.1500$,58699069$
2021년 12월 28일,삼성전자,80200₩,80400₩,79700₩,80300₩,18226324₩
2021년 12월 28일,NVIDIA,31.2649$,31.2828$,29.9666$,30.2764$,42059121$
2021년 12월 29일,AMD,152.8200$,154.3399$,147.2900$,148.2600$,51300205$
2021년 12월 29일,NVIDIA,30.2269$,30.5020$,29.3218$,29.9558$,34313928$
2021년 12월 29일,SK하이닉스,127500₩,128500₩,125500₩,127000₩,3832154₩
2021년 12월 29일,삼성전자,80200₩,80200₩,78500₩,78800₩,19794796₩
2021년 12월 30일,AMD,147.4400$,148.8500$,144.8500$,145.1500$,44357997$
2021년 12월 30일,NVIDIA,29.7821$,30.4112$,29.4955$,29.5415$,30886422$
2021년 12월 30일,SK하이닉스,131000₩,133500₩,130000₩,131000₩,5172987₩
2021년 12월 30일,삼성전자,78900₩,79500₩,78100₩,78300₩,14236700₩
2021년 12월 31일,AMD,146.1600$,148.6100$,143.5500$,143.9000$,49448144$
2021년 12월 31일,NVIDIA,29.6293$,29.9848$,29.2864$,29.3667$,26652991$
2022년 1월 3일,삼성전자,79400₩,79800₩,78200₩,78600₩,13502112₩
2022년 1월 3일,SK하이닉스,132000₩,132500₩,128000₩,128500₩,3782213₩
2022년 1월 3일,NVIDIA,29.7701$,30.6648$,29.7402$,30.0757$,39240294$
2022년 1월 3일,AMD,145.1350$,151.6500$,145.0200$,150.2400$,59477667$
2022년 1월 4일,NVIDIA,30.2314$,30.4221$,28.3063$,29.2459$,52715440$
2022년 1월 4일,SK하이닉스,129500₩,130000₩,127500₩,128500₩,3622369₩
2022년 1월 4일,AMD,151.0100$,152.4200$,140.7000$,144.4200$,80200455$
2022년 1월 4일,삼성전자,78800₩,79200₩,78300₩,78700₩,12427416₩
2022년 1월 5일,삼성전자,78800₩,79000₩,76400₩,77400₩,25470640₩
2022년 1월 5일,AMD,142.8150$,143.7600$,135.2900$,136.1500$,65403174$
2022년 1월 5일,NVIDIA,28.9054$,29.3717$,27.4916$,27.5625$,49806388$
2022년 1월 5일,SK하이닉스,129000₩,129000₩,121500₩,125500₩,7414954₩
2022년 1월 6일,삼성전자,76700₩,77600₩,76600₩,76900₩,12931954₩
2022년 1월 6일,AMD,136.1900$,138.0000$,131.7700$,136.2300$,64802937$
2022년 1월 6일,NVIDIA,27.5984$,28.3952$,27.0243$,28.1356$,45418637$
2022년 1월 6일,SK하이닉스,123500₩,127000₩,123000₩,125000₩,3725569₩
2022년 1월 7일,삼성전자,78100₩,78400₩,77400₩,78300₩,15163757₩
2022년 1월 7일,NVIDIA,28.0986$,28.3792$,27.0163$,27.2060$,40993851$
2022년 1월 7일,AMD,136.2800$,137.4400$,131.1300$,132.0000$,58441104$
2022년 1월 7일,SK하이닉스,127000₩,129000₩,126500₩,127000₩,3270119₩
2022년 1월 10일,AMD,129.0800$,132.4200$,125.0300$,132.0000$,84671336$
2022년 1월 10일,SK하이닉스,126500₩,127000₩,123000₩,124500₩,3449197₩
2022년 1월 10일,NVIDIA,26.5410$,27.4277$,25.6052$,27.3588$,59468095$
2022년 1월 10일,삼성전자,78100₩,78100₩,77100₩,78000₩,9947422₩
2022년 1월 11일,삼성전자,78400₩,79000₩,78000₩,78900₩,13221123₩
2022년 1월 11일,NVIDIA,27.2814$,28.0228$,26.7986$,27.7751$,40408929$
2022년 1월 11일,SK하이닉스,125500₩,128500₩,124500₩,128000₩,3958787₩
2022년 1월 11일,AMD,133.4500$,138.9900$,131.5900$,137.3100$,77153906$
2022년 1월 12일,SK하이닉스,129500₩,130000₩,126500₩,128500₩,3552174₩
2022년 1월 12일,NVIDIA,28.0243$,28.5520$,27.5664$,27.9569$,38341348$
2022년 1월 12일,AMD,138.5850$,140.5700$,135.7700$,137.4700$,69669598$
2022년 1월 12일,삼성전자,79500₩,79600₩,78600₩,78900₩,11000502₩
2022년 1월 13일,SK하이닉스,128500₩,130000₩,128000₩,129500₩,4155984₩
2022년 1월 13일,삼성전자,79300₩,79300₩,77900₩,77900₩,13889401₩
2022년 1월 13일,NVIDIA,28.3363$,28.4371$,26.4581$,26.5350$,53886809$
2022년 1월 13일,AMD,139.4400$,141.2500$,131.8100$,132.7400$,76618059$
2022년 1월 14일,삼성전자,77700₩,78100₩,77100₩,77300₩,10096725₩
2022년 1월 14일,AMD,131.6800$,137.0000$,131.4300$,136.8800$,71078438$
2022년 1월 14일,SK하이닉스,128500₩,129000₩,126000₩,128500₩,3769648₩
2022년 1월 14일,NVIDIA,26.2604$,27.1560$,26.1706$,26.9015$,39583235$
2022년 1월 17일,삼성전자,77600₩,77800₩,76900₩,77500₩,8785122₩
2022년 1월 17일,SK하이닉스,127500₩,128000₩,124500₩,127000₩,3730393₩
2022년 1월 18일,삼성전자,77600₩,77800₩,76600₩,77000₩,9592788₩
2022년 1월 18일,SK하이닉스,126500₩,127500₩,125000₩,126500₩,3607850₩
2022년 1월 18일,AMD,134.5000$,136.3893$,131.5900$,131.9300$,56589456$
2022년 1월 18일,NVIDIA,26.2205$,26.5979$,25.7312$,25.8640$,42530617$
2022년 1월 19일,SK하이닉스,123500₩,128500₩,123500₩,127000₩,4094609₩
2022년 1월 19일,AMD,133.5500$,134.5700$,128.0200$,128.2700$,69831849$
2022년 1월 19일,삼성전자,76500₩,76900₩,76100₩,76300₩,10598290₩
2022년 1월 19일,NVIDIA,26.0398$,26.5032$,25.0143$,25.0293$,48831451$
2022년 1월 20일,NVIDIA,25.2659$,25.5405$,24.0418$,24.1137$,43518073$
2022년 1월 20일,AMD,126.0400$,128.5100$,121.4100$,121.8900$,91157293$
2022년 1월 20일,삼성전자,76200₩,76700₩,75900₩,76500₩,9708168₩
2022년 1월 20일,SK하이닉스,126000₩,126500₩,123500₩,125000₩,5441986₩
2022년 1월 21일,NVIDIA,23.4716$,24.7856$,23.2280$,23.3388$,71895784$
2022년 1월 21일,삼성전자,75800₩,75800₩,74700₩,75600₩,15774888₩
2022년 1월 21일,AMD,120.1400$,125.0200$,118.3900$,118.8100$,95685268$
2022년 1월 21일,SK하이닉스,121500₩,122500₩,118000₩,119000₩,6465040₩
2022년 1월 24일,AMD,115.4000$,116.7700$,107.5000$,116.5300$,116301816$
2022년 1월 24일,NVIDIA,22.2964$,23.3448$,20.8566$,23.3368$,91581063$
2022년 1월 24일,삼성전자,75400₩,75800₩,74700₩,75100₩,13691134₩
2022년 1월 24일,SK하이닉스,116500₩,120500₩,116500₩,119000₩,4883822₩
2022년 1월 25일,SK하이닉스,118000₩,120000₩,116500₩,118000₩,5702595₩
2022년 1월 25일,AMD,114.1000$,114.8200$,109.8600$,111.1300$,85102907$
2022년 1월 25일,삼성전자,74800₩,75000₩,73200₩,74000₩,17766704₩
2022년 1월 25일,NVIDIA,22.5121$,22.9085$,21.9669$,22.2904$,66461636$
2022년 1월 26일,AMD,114.5500$,117.1600$,108.6300$,110.7100$,94752613$
2022년 1월 26일,삼성전자,73900₩,74400₩,73100₩,73300₩,12976730₩
2022년 1월 26일,SK하이닉스,119000₩,119500₩,117500₩,117500₩,3416240₩
2022년 1월 26일,NVIDIA,23.2050$,24.0208$,22.2664$,22.7377$,75595873$
2022년 1월 27일,SK하이닉스,119500₩,119500₩,111000₩,113500₩,6679404₩
2022년 1월 27일,삼성전자,73800₩,74000₩,71300₩,71300₩,22274776₩
2022년 1월 27일,NVIDIA,23.5325$,23.9589$,21.6424$,21.9110$,57335272$
2022년 1월 27일,AMD,111.9600$,112.7500$,101.9400$,102.6000$,125954124$
2022년 1월 28일,NVIDIA,21.9790$,22.8236$,21.2639$,22.8056$,54377425$
2022년 1월 28일,삼성전자,71300₩,73700₩,71200₩,73300₩,21367448₩
2022년 1월 28일,SK하이닉스,115000₩,121500₩,114500₩,120500₩,4776510₩
2022년 1월 28일,AMD,101.5500$,105.4000$,99.3500$,105.2400$,98749521$
2022년 1월 31일,NVIDIA,23.1471$,24.4721$,23.0173$,24.4491$,56467968$
2022년 1월 31일,AMD,107.9300$,114.3100$,106.9000$,114.2500$,97205994$
2022년 2월 1일,NVIDIA,25.0662$,25.1072$,23.8541$,24.6009$,51892517$
2022년 2월 1일,AMD,116.7500$,117.2600$,112.7300$,116.7800$,122467874$
2022년 2월 2일,AMD,129.8900$,130.0600$,120.6400$,122.7600$,180064993$
2022년 2월 2일,NVIDIA,25.7552$,25.7781$,24.5161$,25.2040$,54341941$
2022년 2월 3일,NVIDIA,24.4212$,25.0393$,23.7442$,23.9120$,41017778$
2022년 2월 3일,삼성전자,74900₩,74900₩,73300₩,73300₩,17744720₩
2022년 2월 3일,SK하이닉스,124500₩,127000₩,124000₩,124000₩,5171178₩
2022년 2월 3일,AMD,120.3200$,125.3700$,118.8160$,120.0800$,103599467$
2022년 2월 4일,AMD,120.3400$,124.9600$,118.5800$,123.6000$,86212008$
2022년 2월 4일,삼성전자,74300₩,74600₩,73400₩,74000₩,12730034₩
2022년 2월 4일,SK하이닉스,125500₩,127000₩,124000₩,124500₩,3037097₩
2022년 2월 4일,NVIDIA,23.9359$,24.5979$,23.5964$,24.2824$,35482850$
2022년 2월 7일,삼성전자,73500₩,73600₩,72400₩,73000₩,14240838₩
2022년 2월 7일,AMD,123.5600$,127.6300$,122.7850$,123.6700$,81672504$
2022년 2월 7일,SK하이닉스,123000₩,123500₩,119500₩,123000₩,4804261₩
2022년 2월 7일,NVIDIA,24.3353$,25.1441$,24.1656$,24.6908$,37686750$
2022년 2월 8일,AMD,122.3800$,128.7050$,122.0500$,128.2300$,84902753$
2022년 2월 8일,삼성전자,73800₩,74200₩,73000₩,73500₩,11736666₩
2022년 2월 8일,SK하이닉스,124500₩,126000₩,123500₩,125000₩,4054097₩
2022년 2월 8일,NVIDIA,24.3223$,25.1920$,23.9439$,25.0702$,41035864$
2022년 2월 9일,SK하이닉스,127000₩,128000₩,124500₩,126000₩,4339337₩
2022년 2월 9일,NVIDIA,25.5834$,26.6848$,25.3148$,26.6648$,52428166$
2022년 2월 9일,AMD,129.6000$,132.9600$,127.6500$,132.8500$,92948862$
2022년 2월 9일,삼성전자,74300₩,74700₩,74000₩,74700₩,9699122₩
2022년 2월 10일,삼성전자,75600₩,75800₩,74700₩,75400₩,17746032₩
2022년 2월 10일,NVIDIA,25.9559$,26.8845$,25.5615$,25.7851$,51319972$
2022년 2월 10일,AMD,128.8400$,131.7589$,124.6100$,125.7700$,108939859$
2022년 2월 10일,SK하이닉스,129000₩,131000₩,127000₩,129500₩,7269729₩
2022년 2월 11일,삼성전자,75000₩,75500₩,74600₩,74900₩,12205407₩
2022년 2월 11일,NVIDIA,25.8770$,26.1126$,23.7372$,23.9130$,60547198$
2022년 2월 11일,SK하이닉스,130500₩,132500₩,130000₩,132000₩,6057207₩
2022년 2월 11일,AMD,126.1400$,127.1699$,111.8100$,113.1800$,164723241$
2022년 2월 14일,AMD,115.5100$,118.3700$,113.4600$,114.2700$,135146410$
2022년 2월 14일,삼성전자,74400₩,74500₩,73100₩,73700₩,13993255₩
2022년 2월 14일,SK하이닉스,130000₩,132500₩,129500₩,132500₩,4962205₩
2022년 2월 14일,NVIDIA,23.8980$,24.8376$,23.7192$,24.2305$,44042443$
2022년 2월 15일,삼성전자,74100₩,74200₩,73100₩,73700₩,9320365₩
2022년 2월 15일,NVIDIA,24.9115$,26.5050$,24.7467$,26.4551$,70175280$
2022년 2월 15일,AMD,117.1900$,121.8800$,114.3600$,121.4700$,144139671$
2022년 2월 15일,SK하이닉스,131500₩,132000₩,127000₩,127000₩,5097120₩
2022년 2월 16일,SK하이닉스,131000₩,132500₩,130000₩,130500₩,3499809₩
2022년 2월 16일,삼성전자,74600₩,74900₩,74200₩,74800₩,10767386₩
2022년 2월 16일,NVIDIA,26.2195$,26.5420$,25.5135$,26.4711$,73267633$
2022년 2월 16일,AMD,119.0500$,119.5400$,114.2200$,117.6900$,119109631$
2022년 2월 17일,NVIDIA,25.5914$,25.7462$,24.1286$,24.4701$,81059508$
2022년 2월 17일,SK하이닉스,130500₩,134000₩,130000₩,133000₩,5433402₩
2022년 2월 17일,AMD,116.2600$,116.9800$,112.2600$,112.3700$,98179641$
2022년 2월 17일,삼성전자,75000₩,75600₩,74500₩,75000₩,13605382₩
2022년 2월 18일,삼성전자,74600₩,74800₩,73700₩,74300₩,10122226₩
2022년 2월 18일,NVIDIA,24.6304$,24.9484$,23.0652$,23.6064$,76125491$
2022년 2월 18일,SK하이닉스,131500₩,133000₩,129500₩,131500₩,3108887₩
2022년 2월 18일,AMD,113.9000$,115.6350$,109.8900$,113.8300$,114321231$
2022년 2월 21일,삼성전자,73200₩,74300₩,72600₩,74200₩,10489717₩
2022년 2월 21일,SK하이닉스,129000₩,130500₩,127000₩,130000₩,4048108₩
2022년 2월 22일,삼성전자,73000₩,73400₩,72800₩,73400₩,11692469₩
2022년 2월 22일,SK하이닉스,127000₩,129500₩,126000₩,128500₩,3179806₩
2022년 2월 22일,AMD,115.2700$,119.2000$,113.6100$,115.6500$,141648454$
2022년 2월 22일,NVIDIA,23.0003$,24.0278$,22.9654$,23.3548$,63342244$
2022년 2월 23일,삼성전자,73800₩,73800₩,72800₩,73000₩,10397964₩
2022년 2월 23일,SK하이닉스,130000₩,130500₩,127000₩,128500₩,2752112₩
2022년 2월 23일,AMD,117.4000$,118.6500$,109.0400$,109.7600$,120299433$
2022년 2월 23일,NVIDIA,23.7662$,24.1186$,22.2674$,22.3533$,56651077$
2022년 2월 24일,AMD,104.5600$,116.9600$,104.2600$,116.6100$,142956572$
2022년 2월 24일,NVIDIA,20.9834$,23.7642$,20.8586$,23.7123$,73580063$
2022년 2월 24일,삼성전자,72300₩,72300₩,71300₩,71500₩,15759283₩
2022년 2월 24일,SK하이닉스,125500₩,126000₩,122000₩,122500₩,5748069₩
2022년 2월 25일,삼성전자,72100₩,72600₩,71900₩,71900₩,13168484₩
2022년 2월 25일,AMD,117.1600$,121.2300$,116.0421$,121.0600$,127820983$
2022년 2월 25일,SK하이닉스,125500₩,126000₩,122500₩,123000₩,3309625₩
2022년 2월 25일,NVIDIA,23.6853$,24.1806$,23.3458$,24.1206$,52886551$
2022년 2월 28일,NVIDIA,23.9559$,24.6279$,23.6713$,24.3483$,47731861$
2022년 2월 28일,SK하이닉스,123000₩,123500₩,121000₩,123500₩,3224264₩
2022년 2월 28일,삼성전자,71100₩,72100₩,71000₩,72100₩,17781784₩
2022년 2월 28일,AMD,120.3100$,124.6100$,119.2000$,123.3400$,124666142$
2022년 3월 1일,NVIDIA,24.2544$,24.3403$,23.0972$,23.4417$,41205598$
2022년 3월 1일,AMD,122.3300$,122.4300$,112.8000$,113.8300$,126552244$
2022년 3월 2일,AMD,115.4700$,119.4800$,113.3100$,118.2800$,118354509$
2022년 3월 2일,NVIDIA,23.7243$,24.3764$,23.3837$,24.1877$,38964185$
2022년 3월 2일,SK하이닉스,124500₩,126500₩,123000₩,125000₩,2903340₩
2022년 3월 2일,삼성전자,72300₩,72400₩,71500₩,71700₩,12481430₩
2022년 3월 3일,삼성전자,72300₩,73100₩,72200₩,72900₩,13232638₩
2022년 3월 3일,NVIDIA,24.2291$,24.2935$,23.4377$,23.6823$,36509504$
2022년 3월 3일,SK하이닉스,128000₩,129500₩,127000₩,129000₩,3088097₩
2022년 3월 3일,AMD,118.1300$,118.2600$,111.0500$,111.9800$,123916721$
2022년 3월 4일,삼성전자,72700₩,72700₩,71200₩,71500₩,13409634₩
2022년 3월 4일,SK하이닉스,127500₩,128000₩,124000₩,124500₩,3249773₩
2022년 3월 4일,AMD,112.0000$,113.0000$,106.8100$,108.4100$,100671339$
2022년 3월 4일,NVIDIA,23.3528$,23.6484$,22.4520$,22.9054$,43201070$
2022년 3월 7일,삼성전자,70000₩,70600₩,69900₩,70100₩,18617138₩
2022년 3월 7일,NVIDIA,22.7865$,23.0022$,21.3015$,21.3235$,45082089$
2022년 3월 7일,AMD,108.5300$,109.5300$,102.8200$,102.9500$,92599972$
2022년 3월 7일,SK하이닉스,119000₩,121000₩,119000₩,119500₩,5203286₩
2022년 3월 8일,삼성전자,68800₩,70000₩,68700₩,69500₩,15828269₩
2022년 3월 8일,NVIDIA,21.2805$,22.3431$,20.6224$,21.4853$,55746719$
2022년 3월 8일,AMD,102.8100$,109.9000$,100.0800$,105.5300$,135348316$
2022년 3월 8일,SK하이닉스,117000₩,119500₩,116500₩,118000₩,3619045₩
2022년 3월 9일,NVIDIA,22.3571$,23.1890$,22.2173$,22.9833$,49274195$
2022년 3월 9일,AMD,108.4100$,111.7100$,106.8500$,111.0500$,102310329$
2022년 3월 10일,NVIDIA,22.5009$,22.7576$,21.8528$,22.6277$,42806565$
2022년 3월 10일,SK하이닉스,121000₩,121500₩,118500₩,120000₩,3912683₩
2022년 3월 10일,삼성전자,70800₩,71200₩,70500₩,71200₩,21159248₩
2022년 3월 10일,AMD,108.8900$,109.0700$,103.0700$,106.4600$,102557375$
2022년 3월 11일,삼성전자,70500₩,70700₩,69700₩,70000₩,15787655₩
2022년 3월 11일,NVIDIA,22.9913$,23.1141$,22.0166$,22.0705$,36720857$
2022년 3월 11일,SK하이닉스,118500₩,119000₩,115500₩,117000₩,3087532₩
2022년 3월 11일,AMD,108.1300$,108.1900$,104.0800$,104.2900$,87584432$
2022년 3월 14일,삼성전자,70000₩,70200₩,69600₩,70200₩,9040993₩
2022년 3월 14일,AMD,102.9900$,105.2397$,101.0400$,102.2500$,89731676$
2022년 3월 14일,SK하이닉스,115500₩,117000₩,114500₩,116000₩,3172353₩
2022년 3월 14일,NVIDIA,21.8398$,22.2323$,21.1308$,21.3015$,38535424$
2022년 3월 15일,AMD,102.6600$,109.6900$,101.7900$,109.3300$,112425543$
2022년 3월 15일,삼성전자,69800₩,70100₩,69500₩,69500₩,10258562₩
2022년 3월 15일,SK하이닉스,114500₩,115500₩,112000₩,112500₩,3578256₩
2022년 3월 15일,NVIDIA,21.4893$,23.0072$,21.2935$,22.9423$,49199569$
2022년 3월 16일,NVIDIA,23.4686$,24.5642$,23.1411$,24.4633$,67142174$
2022년 3월 16일,삼성전자,70200₩,70500₩,69700₩,70400₩,10175750₩
2022년 3월 16일,SK하이닉스,115000₩,117000₩,114000₩,116500₩,3739977₩
2022년 3월 16일,AMD,111.6000$,115.4200$,109.8900$,115.3700$,113689804$
2022년 3월 17일,삼성전자,71200₩,71800₩,70900₩,71200₩,17646316₩
2022년 3월 17일,SK하이닉스,121000₩,124500₩,121000₩,124000₩,7219813₩
2022년 3월 17일,NVIDIA,24.0878$,24.8088$,23.8741$,24.7329$,47194119$
2022년 3월 17일,AMD,112.1400$,114.2700$,109.7100$,111.6900$,103201695$
