날짜,회사명,시가,최고가,최저가,종가,거래량
2021년 1월 28일,SK하이닉스,124000₩,125500₩,121500₩,123000₩,6270829₩
2021년 1월 28일,AMD,89.8300$,89.8800$,87.3000$,87.5200$,47048362$
2021년 1월 29일,SK하이닉스,128500₩,128500₩,121500₩,122500₩,7391307₩
2021년 1월 29일,NVIDIA,13.0439$,13.3031$,12.8808$,12.9589$,6788801$
2021년 1월 29일,AMD,87.5600$,88.3300$,85.0200$,85.6400$,56735828$
2021년 1월 29일,삼성전자,84500₩,85000₩,82000₩,82000₩,39615976₩
2021년 2월 1일,NVIDIA,13.0223$,13.2392$,12.8721$,13.2056$,5430108$
2021년 2월 1일,AMD,86.8300$,87.9500$,84.6600$,87.6600$,42359344$
2021년 2월 1일,삼성전자,81700₩,83400₩,81000₩,83000₩,28046832₩
2021년 2월 1일,SK하이닉스,121000₩,126000₩,118000₩,125000₩,5620305₩
2021년 2월 2일,NVIDIA,13.3669$,13.5398$,13.2539$,13.5245$,5510957$
2021년 2월 2일,SK하이닉스,128500₩,132500₩,127000₩,130000₩,4880067₩
2021년 2월 2일,AMD,88.4900$,89.2800$,86.9500$,88.8600$,33850049$
2021년 2월 2일,삼성전자,84100₩,86400₩,83700₩,84400₩,26302076₩
2021년 2월 3일,NVIDIA,13.6036$,13.8987$,13.4844$,13.4984$,6135232$
2021년 2월 3일,AMD,88.6000$,89.4800$,87.3400$,87.8900$,32312885$
2021년 2월 3일,SK하이닉스,131000₩,131500₩,128500₩,130000₩,3693688₩
2021년 2월 3일,삼성전자,84800₩,85400₩,83400₩,84600₩,22112204₩
2021년 2월 4일,삼성전자,83500₩,83800₩,82100₩,82500₩,24171688₩
2021년 2월 4일,NVIDIA,13.4989$,13.6410$,13.3062$,13.6318$,5033462$
2021년 2월 4일,AMD,88.2200$,88.6000$,87.0600$,87.8400$,30791641$
2021년 2월 4일,SK하이닉스,127500₩,128500₩,124000₩,125000₩,4600618₩
2021년 2월 5일,SK하이닉스,126500₩,128000₩,124500₩,127500₩,3497303₩
2021년 2월 5일,삼성전자,83100₩,84000₩,82500₩,83500₩,18036836₩
2021년 2월 5일,AMD,88.1500$,88.3600$,86.8750$,87.9000$,30268677$
2021년 2월 5일,NVIDIA,13.6924$,13.7046$,13.5136$,13.5587$,4228841$
2021년 2월 8일,AMD,88.3100$,91.9900$,87.9800$,91.4700$,47639887$
2021년 2월 8일,삼성전자,83800₩,84200₩,83000₩,83000₩,15338765₩
2021년 2월 8일,SK하이닉스,127500₩,128000₩,125000₩,125000₩,2876471₩
2021년 2월 8일,NVIDIA,13.6946$,14.4394$,13.6946$,14.4045$,10865571$
2021년 2월 9일,삼성전자,84000₩,84800₩,82700₩,82700₩,20898332₩
2021년 2월 9일,NVIDIA,14.3066$,14.5486$,14.1887$,14.2294$,7189003$
2021년 2월 9일,SK하이닉스,127500₩,130000₩,125000₩,125500₩,5177095₩
2021년 2월 9일,AMD,91.3900$,93.3000$,90.5500$,90.9100$,37596446$
2021년 2월 10일,NVIDIA,14.4289$,14.8696$,14.3073$,14.7292$,12133808$
2021년 2월 10일,AMD,91.5000$,93.2700$,90.4600$,92.3500$,42441300$
2021년 2월 10일,삼성전자,82600₩,82600₩,81600₩,81600₩,23025766₩
2021년 2월 10일,SK하이닉스,125500₩,127000₩,124500₩,126000₩,4262526₩
2021년 2월 11일,AMD,92.9000$,93.6500$,91.3300$,92.6600$,35571025$
2021년 2월 11일,NVIDIA,14.9447$,15.2360$,14.8895$,15.2145$,11270693$
2021년 2월 12일,AMD,92.7500$,94.2200$,91.9000$,93.7700$,38538353$
2021년 2월 12일,NVIDIA,15.0142$,15.2548$,14.7399$,14.9257$,9368937$
2021년 2월 15일,삼성전자,83800₩,84500₩,83300₩,84200₩,23529706₩
2021년 2월 15일,SK하이닉스,130000₩,132500₩,130000₩,132000₩,5384526₩
2021년 2월 16일,NVIDIA,15.0285$,15.3360$,14.9145$,15.2938$,8048988$
2021년 2월 16일,SK하이닉스,132500₩,134000₩,130500₩,132500₩,3218689₩
2021년 2월 16일,삼성전자,84500₩,86000₩,84200₩,84900₩,20483100₩
2021년 2월 16일,AMD,93.9000$,94.0000$,90.7499$,91.4600$,35105917$
2021년 2월 17일,SK하이닉스,131000₩,131000₩,128000₩,130000₩,3621178₩
2021년 2월 17일,AMD,90.5600$,90.9600$,88.5701$,89.9400$,32284075$
2021년 2월 17일,삼성전자,83900₩,84200₩,83000₩,83200₩,18307736₩
2021년 2월 17일,NVIDIA,15.1350$,15.1874$,14.7449$,14.8706$,6892467$
2021년 2월 18일,NVIDIA,14.6940$,14.8379$,14.5404$,14.7938$,5852020$
2021년 2월 18일,삼성전자,83200₩,83600₩,82100₩,82100₩,21327684₩
2021년 2월 18일,SK하이닉스,128500₩,130000₩,125500₩,126000₩,3792425₩
2021년 2월 18일,AMD,89.0900$,89.6000$,87.3100$,88.6400$,35624948$
2021년 2월 19일,삼성전자,82300₩,82800₩,81000₩,82600₩,25880880₩
2021년 2월 19일,NVIDIA,14.9888$,15.1409$,14.8114$,14.8910$,6793103$
2021년 2월 19일,SK하이닉스,129000₩,133000₩,128500₩,133000₩,6986526₩
2021년 2월 19일,AMD,89.7500$,90.4163$,88.6900$,89.5800$,29548273$
2021년 2월 22일,NVIDIA,14.7397$,15.0973$,14.2910$,14.3216$,8147139$
2021년 2월 22일,SK하이닉스,136000₩,139500₩,135000₩,136500₩,7961516₩
2021년 2월 22일,AMD,88.1500$,88.3000$,85.2100$,85.3700$,36930182$
2021년 2월 22일,삼성전자,83800₩,84200₩,82200₩,82200₩,25419886₩
2021년 2월 23일,AMD,83.4000$,85.1100$,79.3600$,84.7400$,49720914$
2021년 2월 23일,삼성전자,81200₩,82900₩,81100₩,82000₩,20587314₩
2021년 2월 23일,SK하이닉스,133500₩,140000₩,131500₩,138500₩,6400037₩
2021년 2월 23일,NVIDIA,14.0418$,14.2049$,13.3577$,14.1084$,9794483$
2021년 2월 24일,AMD,84.3300$,87.0900$,82.8100$,86.9400$,40821150$
2021년 2월 24일,SK하이닉스,137500₩,143500₩,134000₩,136000₩,9074809₩
2021년 2월 24일,NVIDIA,14.0892$,14.4723$,13.7233$,14.4646$,11207977$
2021년 2월 24일,삼성전자,81800₩,83600₩,81300₩,82000₩,26807652₩
2021년 2월 25일,AMD,86.1700$,87.0900$,81.9200$,82.4200$,54625140$
2021년 2월 25일,NVIDIA,14.0121$,14.3406$,13.1849$,13.2759$,20610901$
2021년 2월 25일,삼성전자,84000₩,85400₩,83000₩,85300₩,34155984₩
2021년 2월 25일,SK하이닉스,141000₩,149500₩,140000₩,148500₩,9936495₩
2021년 2월 26일,AMD,83.5650$,85.5900$,82.9100$,84.5100$,48962907$
2021년 2월 26일,NVIDIA,13.7198$,13.8216$,13.3293$,13.6819$,12523260$
2021년 2월 26일,삼성전자,82800₩,83400₩,82000₩,82500₩,38520800₩
2021년 2월 26일,SK하이닉스,143500₩,145000₩,138000₩,141500₩,10843268₩
2021년 3월 1일,NVIDIA,13.8420$,13.8919$,13.5211$,13.8089$,8829575$
2021년 3월 1일,AMD,85.3650$,86.5000$,83.9700$,86.3900$,32746181$
2021년 3월 2일,SK하이닉스,149000₩,150500₩,141000₩,144500₩,9376523₩
2021년 3월 2일,삼성전자,85100₩,85300₩,83000₩,83600₩,33498180₩
2021년 3월 2일,AMD,86.9200$,86.9500$,84.0400$,84.1300$,34828157$
2021년 3월 2일,NVIDIA,13.8670$,13.8874$,13.3642$,13.3744$,6602853$
2021년 3월 3일,삼성전자,83500₩,84000₩,82800₩,84000₩,19882132₩
2021년 3월 3일,AMD,84.2800$,84.3800$,80.8500$,80.8600$,43541041$
2021년 3월 3일,SK하이닉스,142500₩,147000₩,139500₩,147000₩,5827221₩
2021년 3월 3일,NVIDIA,13.3944$,13.4195$,12.7683$,12.7743$,9439757$
2021년 3월 4일,SK하이닉스,143000₩,145500₩,139500₩,142000₩,6586562₩
2021년 3월 4일,AMD,80.2300$,81.8067$,76.7800$,77.7500$,60549371$
2021년 3월 4일,삼성전자,82600₩,83200₩,82200₩,82400₩,24348332₩
2021년 3월 4일,NVIDIA,12.7703$,12.9442$,12.0550$,12.3409$,14333629$
2021년 3월 5일,SK하이닉스,138000₩,141500₩,136500₩,140000₩,6091444₩
2021년 3월 5일,AMD,79.0000$,79.4800$,74.2000$,78.5200$,58548912$
2021년 3월 5일,삼성전자,81100₩,82600₩,81100₩,82100₩,20508972₩
2021년 3월 5일,NVIDIA,12.5202$,12.5202$,11.6515$,12.4319$,13570971$
2021년 3월 8일,SK하이닉스,143000₩,143000₩,135500₩,135500₩,5587787₩
2021년 3월 8일,AMD,78.0300$,79.0000$,73.8600$,73.9600$,54563874$
2021년 3월 8일,삼성전자,82900₩,83000₩,81600₩,82000₩,17641256₩
2021년 3월 8일,NVIDIA,12.4204$,12.4416$,11.5390$,11.5657$,13577792$
2021년 3월 9일,AMD,76.7300$,79.2150$,75.7700$,78.5300$,45088336$
2021년 3월 9일,NVIDIA,12.1056$,12.5911$,12.0348$,12.4948$,13045638$
2021년 3월 9일,삼성전자,81400₩,81900₩,80600₩,81400₩,25420764₩
2021년 3월 9일,SK하이닉스,134000₩,137500₩,130500₩,136500₩,7822152₩
2021년 3월 10일,SK하이닉스,140500₩,140500₩,132500₩,133000₩,5614476₩
2021년 3월 10일,NVIDIA,12.8144$,12.9536$,12.4322$,12.4429$,9609414$
2021년 3월 10일,AMD,79.7500$,80.0400$,77.4100$,77.5200$,45416616$
2021년 3월 10일,삼성전자,82400₩,82500₩,80700₩,80900₩,20038422₩
2021년 3월 11일,NVIDIA,12.9237$,13.0198$,12.7086$,12.9671$,7497857$
2021년 3월 11일,SK하이닉스,134500₩,139000₩,134000₩,137000₩,6707671₩
2021년 3월 11일,AMD,79.4000$,81.8900$,79.3700$,81.2300$,43583719$
2021년 3월 11일,삼성전자,81000₩,82500₩,81000₩,82000₩,23818296₩
2021년 3월 12일,SK하이닉스,140500₩,142500₩,139500₩,140000₩,4548695₩
2021년 3월 12일,삼성전자,83100₩,83500₩,82400₩,82800₩,13530573₩
2021년 3월 12일,NVIDIA,12.6226$,12.8626$,12.5644$,12.8299$,6099099$
2021년 3월 12일,AMD,79.7300$,81.1900$,79.2300$,81.0500$,32937950$
2021년 3월 15일,AMD,81.9100$,83.3900$,81.2000$,82.5000$,39365424$
2021년 3월 15일,SK하이닉스,141500₩,142000₩,136000₩,136500₩,4289990₩
2021년 3월 15일,삼성전자,82800₩,82900₩,81800₩,81800₩,13735798₩
2021년 3월 15일,NVIDIA,12.8386$,13.1799$,12.7412$,13.1645$,5563011$
2021년 3월 16일,SK하이닉스,138500₩,140500₩,138000₩,140500₩,3304561₩
2021년 3월 16일,AMD,83.6600$,84.7500$,82.2550$,82.7500$,42971552$
2021년 3월 16일,NVIDIA,13.3294$,13.4851$,13.0901$,13.2643$,6803240$
2021년 3월 16일,삼성전자,82200₩,83000₩,82100₩,82800₩,12293537₩
2021년 3월 17일,SK하이닉스,141000₩,141000₩,138500₩,140000₩,2588319₩
2021년 3월 17일,NVIDIA,13.0133$,13.4259$,12.9631$,13.3142$,6096605$
2021년 3월 17일,AMD,81.7500$,83.2500$,80.4110$,82.6300$,43320573$
2021년 3월 17일,삼성전자,82800₩,82900₩,82000₩,82300₩,11625146₩
2021년 3월 18일,삼성전자,82800₩,83800₩,82600₩,82900₩,18585244₩
2021년 3월 18일,SK하이닉스,142500₩,145000₩,141000₩,142000₩,4426840₩
2021년 3월 18일,NVIDIA,13.1098$,13.1572$,12.6912$,12.6967$,7354702$
2021년 3월 18일,AMD,81.0550$,81.6200$,78.0100$,78.1200$,51036502$
2021년 3월 19일,NVIDIA,12.7241$,12.8953$,12.5869$,12.8197$,7480174$
2021년 3월 19일,SK하이닉스,138000₩,139500₩,137000₩,138000₩,4015627₩
2021년 3월 19일,삼성전자,82100₩,82500₩,81800₩,81900₩,15869700₩
2021년 3월 19일,AMD,78.4900$,79.3400$,77.5900$,79.0600$,42283391$
2021년 3월 22일,SK하이닉스,138500₩,140000₩,137000₩,138000₩,2727719₩
2021년 3월 22일,NVIDIA,12.8865$,13.3673$,12.8805$,13.1595$,7445077$
2021년 3월 22일,삼성전자,82000₩,82300₩,81700₩,82000₩,12670506₩
2021년 3월 22일,AMD,79.9900$,81.2650$,79.2200$,80.3000$,39648614$
2021년 3월 23일,SK하이닉스,139000₩,139500₩,134000₩,135000₩,3839090₩
2021년 3월 23일,삼성전자,82600₩,82900₩,81800₩,81800₩,13299907₩
2021년 3월 23일,NVIDIA,13.2273$,13.3174$,12.9948$,13.0442$,5551152$
2021년 3월 23일,AMD,80.1300$,80.3400$,77.9500$,78.3800$,40466635$
2021년 3월 24일,AMD,77.5500$,78.8000$,76.4000$,76.4800$,43753642$
2021년 3월 24일,삼성전자,81000₩,81600₩,80700₩,81000₩,17926638₩
2021년 3월 24일,NVIDIA,13.1245$,13.1324$,12.6111$,12.6173$,6145963$
2021년 3월 24일,SK하이닉스,133000₩,134500₩,131500₩,133500₩,3894080₩
2021년 3월 25일,SK하이닉스,133000₩,134500₩,130500₩,133000₩,4157799₩
2021년 3월 25일,삼성전자,81000₩,82100₩,80800₩,81200₩,14758826₩
2021년 3월 25일,NVIDIA,12.4741$,12.6889$,12.2471$,12.5098$,7378614$
2021년 3월 25일,AMD,75.8500$,76.9500$,74.9600$,76.2200$,44735103$
2021년 3월 26일,AMD,76.6200$,77.4995$,75.0300$,77.4100$,49148659$
2021년 3월 26일,삼성전자,81400₩,81600₩,81000₩,81500₩,12845778₩
2021년 3월 26일,SK하이닉스,134000₩,135000₩,132000₩,135000₩,3835443₩
2021년 3월 26일,NVIDIA,12.5290$,12.8301$,12.3484$,12.8132$,9099224$
2021년 3월 29일,AMD,77.0300$,78.0200$,76.2600$,77.1400$,37144298$
2021년 3월 29일,삼성전자,81700₩,81700₩,81000₩,81600₩,14952134₩
2021년 3월 29일,SK하이닉스,135500₩,135500₩,131500₩,132000₩,3575226₩
2021년 3월 29일,NVIDIA,12.7942$,13.0360$,12.6742$,12.9220$,6837997$
2021년 3월 30일,NVIDIA,12.8159$,12.9489$,12.6792$,12.8456$,5005062$
2021년 3월 30일,AMD,76.4700$,76.5600$,74.8500$,76.0000$,39169250$
2021년 3월 30일,SK하이닉스,133000₩,135500₩,132000₩,134500₩,3304184₩
2021년 3월 30일,삼성전자,81600₩,82300₩,81300₩,82200₩,13121698₩
2021년 3월 31일,NVIDIA,12.9891$,13.4431$,12.9561$,13.3211$,7869438$
2021년 3월 31일,SK하이닉스,134500₩,135000₩,132000₩,132500₩,3309680₩
2021년 3월 31일,삼성전자,82400₩,82700₩,81400₩,81400₩,17240518₩
2021년 3월 31일,AMD,76.5700$,79.1300$,76.5200$,78.5000$,43659455$
2021년 4월 1일,NVIDIA,13.5447$,13.8418$,13.4838$,13.7837$,7706865$
2021년 4월 1일,SK하이닉스,138000₩,140500₩,136500₩,140500₩,5833436₩
2021년 4월 1일,삼성전자,82500₩,83000₩,82000₩,82900₩,18676460₩
2021년 4월 1일,AMD,80.1550$,81.3100$,79.4800$,81.0900$,40182380$
2021년 4월 2일,삼성전자,84000₩,85200₩,83900₩,84800₩,22997538₩
2021년 4월 2일,SK하이닉스,142000₩,143000₩,140000₩,141000₩,3432245₩
2021년 4월 5일,SK하이닉스,142000₩,144500₩,141000₩,143000₩,2616440₩
2021년 4월 5일,삼성전자,85800₩,86000₩,84800₩,85400₩,16255990₩
2021년 4월 5일,AMD,81.7400$,81.9000$,80.3900$,81.4300$,32610554$
2021년 4월 5일,NVIDIA,13.8393$,13.9855$,13.7051$,13.9591$,6391785$
2021년 4월 6일,AMD,81.2100$,82.4550$,80.8800$,81.4400$,29327948$
2021년 4월 6일,NVIDIA,13.9712$,14.0256$,13.7456$,13.8333$,4793649$
2021년 4월 6일,삼성전자,86200₩,86200₩,85100₩,86000₩,19042024₩
2021년 4월 6일,SK하이닉스,147000₩,147000₩,141500₩,143000₩,3753217₩
2021년 4월 7일,삼성전자,86100₩,86200₩,85400₩,85600₩,17885538₩
2021년 4월 7일,AMD,81.3200$,83.1000$,80.3500$,82.2000$,35590925$
2021년 4월 7일,SK하이닉스,146000₩,146000₩,142500₩,143500₩,2424687₩
2021년 4월 7일,NVIDIA,13.8526$,14.2146$,13.6837$,14.1148$,6282109$
2021년 4월 8일,삼성전자,85700₩,85700₩,84100₩,84700₩,19244260₩
2021년 4월 8일,AMD,83.3200$,83.7900$,82.4350$,83.3500$,41925284$
2021년 4월 8일,SK하이닉스,143500₩,146000₩,142500₩,144000₩,3774932₩
2021년 4월 8일,NVIDIA,14.2238$,14.4421$,14.2200$,14.2879$,6110373$
2021년 4월 9일,NVIDIA,14.1851$,14.3787$,14.1462$,14.3708$,4879272$
2021년 4월 9일,AMD,82.8000$,83.5900$,82.1600$,82.7600$,32759867$
2021년 4월 9일,SK하이닉스,144000₩,145000₩,139500₩,140000₩,3276077₩
2021년 4월 9일,삼성전자,84700₩,84900₩,83400₩,83600₩,18193708₩
2021년 4월 12일,AMD,82.0550$,82.1800$,78.0300$,78.5800$,62098804$
2021년 4월 12일,SK하이닉스,140500₩,140500₩,136000₩,137500₩,3878457₩
2021년 4월 12일,NVIDIA,14.2607$,15.3213$,14.1105$,15.1781$,21733050$
2021년 4월 12일,삼성전자,84100₩,84100₩,83100₩,83200₩,12915282₩
2021년 4월 13일,삼성전자,83000₩,84500₩,82800₩,84000₩,15238206₩
2021년 4월 13일,AMD,79.6700$,80.7200$,78.9800$,80.1900$,37767257$
2021년 4월 13일,NVIDIA,15.2006$,15.6681$,15.0950$,15.6477$,16905297$
2021년 4월 13일,SK하이닉스,136000₩,140000₩,135500₩,139500₩,2876178₩
2021년 4월 14일,삼성전자,84000₩,84300₩,83400₩,84000₩,13794652₩
2021년 4월 14일,AMD,79.8800$,80.1300$,77.9350$,78.5500$,34263832$
2021년 4월 14일,NVIDIA,15.5933$,15.6885$,15.1966$,15.2460$,9637548$
2021년 4월 14일,SK하이닉스,139000₩,139000₩,136500₩,137000₩,2777203₩
2021년 4월 15일,AMD,80.3200$,83.9500$,79.9700$,83.0100$,68942819$
2021년 4월 15일,삼성전자,83700₩,84500₩,83400₩,84100₩,16377412₩
2021년 4월 15일,NVIDIA,15.6307$,16.1812$,15.5998$,16.1045$,14962017$
2021년 4월 15일,SK하이닉스,136000₩,139000₩,136000₩,137500₩,2291160₩
2021년 4월 16일,NVIDIA,16.0205$,16.1329$,15.8330$,15.8802$,8380189$
2021년 4월 16일,삼성전자,84700₩,84700₩,83600₩,83900₩,15429522₩
2021년 4월 16일,AMD,83.3000$,83.5900$,81.5300$,82.1500$,47280570$
2021년 4월 16일,SK하이닉스,138500₩,139000₩,137500₩,137500₩,1982877₩
2021년 4월 19일,삼성전자,83800₩,84000₩,83300₩,83300₩,15287311₩
2021년 4월 19일,AMD,82.1300$,83.1800$,80.3900$,81.1100$,39115461$
2021년 4월 19일,SK하이닉스,138000₩,139000₩,137000₩,138000₩,1906782₩
2021년 4월 19일,NVIDIA,15.5050$,15.7754$,15.2021$,15.3305$,10110452$
2021년 4월 20일,NVIDIA,15.2921$,15.4655$,14.9326$,15.1404$,8353326$
2021년 4월 20일,AMD,80.8200$,81.1100$,78.5100$,79.2700$,34977750$
2021년 4월 20일,SK하이닉스,136500₩,138500₩,136500₩,138500₩,2167732₩
2021년 4월 20일,삼성전자,83300₩,84000₩,83100₩,83900₩,15521965₩
2021년 4월 21일,NVIDIA,15.0880$,15.3313$,15.0716$,15.3293$,5419426$
2021년 4월 21일,SK하이닉스,138000₩,138000₩,132000₩,132500₩,5120577₩
2021년 4월 21일,AMD,78.9900$,81.6600$,78.8600$,81.6100$,35068955$
2021년 4월 21일,삼성전자,83300₩,83500₩,82500₩,82600₩,21636080₩
2021년 4월 22일,삼성전자,82900₩,83000₩,82400₩,82400₩,13934746₩
2021년 4월 22일,SK하이닉스,134500₩,135500₩,133000₩,133000₩,3007457₩
2021년 4월 22일,AMD,81.6100$,81.7900$,78.5900$,79.0600$,38846050$
2021년 4월 22일,NVIDIA,15.3438$,15.4072$,14.7535$,14.8201$,6944657$
2021년 4월 23일,삼성전자,81900₩,82900₩,81600₩,82800₩,17805080₩
2021년 4월 23일,NVIDIA,14.9040$,15.3037$,14.8700$,15.2342$,5694305$
2021년 4월 23일,AMD,80.2100$,83.3000$,79.9600$,82.7600$,49267281$
2021년 4월 23일,SK하이닉스,130500₩,132500₩,128500₩,132500₩,4854412₩
2021년 4월 26일,AMD,83.3500$,85.9000$,82.7000$,85.4100$,57594535$
