날짜,회사명,시가,최고가,최저가,종가,거래량
2023-01-02,SK하이닉스,75100₩,76700₩,75000₩,75700₩,1376985₩
2023-01-02,삼성전자,55500₩,56100₩,55200₩,55500₩,10031448₩
2023-01-03,삼성전자,55400₩,56000₩,54500₩,55400₩,13547030₩
2023-01-03,SK하이닉스,75600₩,76300₩,73100₩,75600₩,2719437₩
2023-01-03,NVIDIA,14.8425$,14.9874$,14.0879$,14.3068$,40127658$
2023-01-03,AMD,65.9980$,66.8800$,63.5900$,64.0200$,46851844$
2023-01-04,AMD,65.0000$,65.7900$,63.3100$,64.6600$,47477139$
2023-01-04,NVIDIA,14.5587$,14.8445$,14.2329$,14.7406$,43132360$
2023-01-04,삼성전자,55700₩,58000₩,55600₩,57800₩,20188072₩
2023-01-04,SK하이닉스,75400₩,81900₩,75200₩,81000₩,5154609₩
2023-01-05,삼성전자,58200₩,58800₩,57600₩,58200₩,15682826₩
2023-01-05,AMD,64.1500$,64.3500$,62.3000$,62.3300$,46159549$
2023-01-05,SK하이닉스,83300₩,83300₩,80800₩,81400₩,3510964₩
2023-01-05,NVIDIA,14.4827$,14.5557$,14.1399$,14.2568$,38916811$
2023-01-06,삼성전자,58300₩,59400₩,57900₩,59000₩,17334988₩
2023-01-06,NVIDIA,14.4657$,15.0014$,14.0260$,14.8505$,40504362$
2023-01-06,SK하이닉스,81400₩,83600₩,81100₩,83100₩,3687430₩
2023-01-06,AMD,63.1450$,64.3000$,60.0500$,63.9600$,70161340$
2023-01-09,NVIDIA,15.2753$,16.0468$,15.1323$,15.6191$,50423056$
2023-01-09,AMD,66.2200$,69.3200$,65.6700$,67.2400$,69741257$
2023-01-09,SK하이닉스,84900₩,86000₩,83500₩,86000₩,3948670₩
2023-01-09,삼성전자,59700₩,60700₩,59600₩,60700₩,18640108₩
2023-01-10,삼성전자,60200₩,61100₩,59900₩,60400₩,14859797₩
2023-01-10,AMD,66.6700$,68.1500$,66.5600$,68.0500$,41149630$
2023-01-10,SK하이닉스,85500₩,87200₩,85000₩,86500₩,3105311₩
2023-01-10,NVIDIA,15.4981$,15.9529$,15.4632$,15.8999$,38410126$
2023-01-11,AMD,68.3900$,69.1300$,67.2201$,69.0600$,44470060$
2023-01-11,삼성전자,61000₩,61200₩,60300₩,60500₩,12310751₩
2023-01-11,NVIDIA,15.8305$,16.0188$,15.5541$,15.9918$,35328493$
2023-01-11,SK하이닉스,87800₩,88400₩,86500₩,87300₩,3083961₩
2023-01-12,NVIDIA,16.0908$,16.6275$,15.4831$,16.5016$,55140906$
2023-01-12,삼성전자,61100₩,61200₩,59900₩,60500₩,16102561₩
2023-01-12,SK하이닉스,88100₩,88100₩,85800₩,86800₩,3065582₩
2023-01-12,AMD,70.0700$,71.6500$,67.1800$,70.8000$,70066161$
2023-01-13,삼성전자,60500₩,61200₩,60400₩,60800₩,12510328₩
2023-01-13,NVIDIA,16.2687$,16.9123$,16.1558$,16.8893$,44728706$
2023-01-13,AMD,69.8400$,71.1000$,69.2300$,71.0000$,45757358$
2023-01-13,SK하이닉스,86800₩,87500₩,85400₩,85700₩,2058890₩
