날짜,회사명,시가,최고가,최저가,종가,거래량
2023-01-16,삼성전자,61300₩,61600₩,60800₩,61100₩,10039972₩
2023-01-16,SK하이닉스,86000₩,86500₩,84900₩,85800₩,1512876₩
2023-01-17,NVIDIA,16.8893$,17.7179$,16.8893$,17.6919$,51110216$
2023-01-17,삼성전자,61200₩,61500₩,60600₩,61000₩,9831456₩
2023-01-17,SK하이닉스,86400₩,87200₩,85700₩,86000₩,1586136₩
2023-01-17,AMD,70.8700$,72.6600$,70.6530$,71.5900$,42621340$
2023-01-18,AMD,71.8700$,72.7800$,70.5000$,70.5300$,39538725$
2023-01-18,NVIDIA,17.6569$,17.8628$,17.2721$,17.3671$,43962355$
2023-01-18,SK하이닉스,86400₩,86500₩,84500₩,85100₩,1494262₩
2023-01-18,삼성전자,60700₩,61000₩,59900₩,60400₩,11584041₩
2023-01-19,삼성전자,60500₩,61500₩,60400₩,61500₩,12808490₩
2023-01-19,AMD,68.9750$,69.2536$,67.2650$,67.7100$,47189852$
2023-01-19,NVIDIA,17.0263$,17.1872$,16.7214$,16.7554$,45293160$
2023-01-19,SK하이닉스,84000₩,85800₩,84000₩,85500₩,1674834₩
2023-01-20,SK하이닉스,86300₩,87800₩,86100₩,87600₩,2386074₩
2023-01-20,삼성전자,62100₩,62300₩,61100₩,61800₩,9646327₩
2023-01-20,AMD,68.0100$,70.1300$,67.4500$,70.0700$,47757593$
2023-01-20,NVIDIA,17.0013$,17.8458$,16.8154$,17.8288$,56496712$
2023-01-23,AMD,72.2250$,76.5900$,71.5400$,76.5300$,84293199$
2023-01-23,NVIDIA,18.0537$,19.2340$,17.8073$,19.1820$,65516259$
2023-01-24,AMD,73.7500$,75.6412$,73.4200$,74.7000$,60822606$
2023-01-24,NVIDIA,18.8162$,19.4839$,18.8092$,19.2540$,49620410$
2023-01-25,NVIDIA,18.9017$,19.3589$,18.5694$,19.3119$,44953711$
2023-01-25,AMD,72.9000$,75.1200$,72.0900$,74.9100$,49932595$
2023-01-25,삼성전자,63500₩,63700₩,63000₩,63400₩,16822710₩
2023-01-25,SK하이닉스,92000₩,92000₩,90600₩,91400₩,3611901₩
2023-01-26,삼성전자,63800₩,63900₩,63300₩,63900₩,13278277₩
2023-01-26,NVIDIA,19.6897$,20.1545$,19.2670$,19.7907$,48953542$
2023-01-26,SK하이닉스,90800₩,92300₩,90100₩,92300₩,2319962₩
2023-01-26,AMD,76.5000$,77.0798$,74.2800$,75.1600$,49583948$
2023-01-27,SK하이닉스,91300₩,92800₩,90300₩,91500₩,2553811₩
2023-01-27,NVIDIA,19.4509$,20.6162$,19.3939$,20.3534$,54214198$
2023-01-27,AMD,73.7000$,76.7400$,73.4900$,75.4000$,58118610$
2023-01-27,삼성전자,64400₩,65000₩,63900₩,64600₩,18760182₩
2023-01-30,SK하이닉스,91300₩,91600₩,90000₩,90700₩,2603297₩
2023-01-30,AMD,74.2300$,74.6400$,72.4000$,72.4500$,48105243$
2023-01-30,삼성전자,64900₩,64900₩,63100₩,63300₩,20995234₩
2023-01-30,NVIDIA,19.9386$,20.1285$,19.1390$,19.1510$,48861115$
2023-01-31,삼성전자,63500₩,63700₩,61000₩,61000₩,29746732₩
2023-01-31,AMD,72.2600$,75.2000$,72.0300$,75.1500$,71669107$
2023-01-31,NVIDIA,19.1585$,19.6757$,18.9392$,19.5258$,49801658$
2023-01-31,SK하이닉스,90800₩,90800₩,86800₩,88500₩,5185088₩
2023-02-01,SK하이닉스,91200₩,91400₩,88500₩,91400₩,3889171₩
2023-02-01,삼성전자,62600₩,62700₩,61000₩,61800₩,18570132₩
2023-02-01,NVIDIA,19.6797$,21.1799$,19.5998$,20.9310$,66047704$
2023-02-01,AMD,78.4700$,85.4800$,77.8800$,84.6400$,152548240$
2023-02-02,삼성전자,63200₩,63900₩,62600₩,63500₩,23285984₩
2023-02-02,NVIDIA,20.9880$,21.9364$,20.6882$,21.6966$,56427580$
2023-02-02,AMD,84.2900$,88.9388$,83.2000$,88.3100$,97762091$
2023-02-02,SK하이닉스,94900₩,94900₩,92700₩,93400₩,4350607₩
2023-02-03,SK하이닉스,92400₩,93200₩,91300₩,92200₩,2925123₩
2023-02-03,삼성전자,63900₩,64000₩,63000₩,63800₩,15194598₩
2023-02-03,AMD,86.6550$,88.8014$,85.8300$,86.0900$,66557818$
2023-02-03,NVIDIA,20.9880$,21.7326$,20.7771$,21.0879$,42936595$
2023-02-06,삼성전자,62800₩,63000₩,61600₩,61600₩,15529356₩
2023-02-06,NVIDIA,20.7941$,21.5577$,20.7741$,21.0769$,45219709$
2023-02-06,AMD,84.6300$,86.2800$,83.2240$,83.6800$,53008890$
2023-02-06,SK하이닉스,91400₩,92000₩,89100₩,89100₩,2819903₩
2023-02-07,NVIDIA,21.3698$,22.2463$,21.1379$,22.1603$,66414961$
2023-02-07,SK하이닉스,88800₩,91200₩,88800₩,90800₩,2166265₩
2023-02-07,삼성전자,61900₩,62500₩,61600₩,61900₩,14491039₩
2023-02-07,AMD,84.3200$,86.2500$,82.5200$,85.9100$,65291914$
2023-02-08,NVIDIA,22.3742$,22.8649$,21.9954$,22.1923$,55965122$
2023-02-08,삼성전자,62800₩,63300₩,62400₩,63100₩,12243125₩
2023-02-08,AMD,85.8800$,88.0000$,84.5400$,84.6900$,54140448$
2023-02-08,SK하이닉스,91700₩,95000₩,91600₩,94900₩,3964981₩
2023-02-09,AMD,85.8800$,86.6700$,82.7600$,83.2100$,46525397$
2023-02-09,SK하이닉스,94800₩,94800₩,92600₩,94400₩,2726568₩
2023-02-09,NVIDIA,22.5931$,23.0068$,22.1074$,22.3242$,52387578$
2023-02-09,삼성전자,63000₩,63300₩,62300₩,63000₩,12164865₩
2023-02-10,NVIDIA,21.6776$,22.0650$,20.7991$,21.2528$,55073675$
2023-02-10,AMD,82.2900$,82.7100$,80.4700$,81.4800$,49332598$
2023-02-10,삼성전자,62600₩,63000₩,62400₩,62800₩,9382576₩
2023-02-10,SK하이닉스,94300₩,94700₩,93100₩,93500₩,1971090₩
2023-02-13,NVIDIA,21.5257$,22.0354$,20.9500$,21.7755$,47491862$
2023-02-13,삼성전자,62900₩,63000₩,62300₩,62900₩,10730362₩
2023-02-13,SK하이닉스,92000₩,92000₩,89900₩,90600₩,3159031₩
2023-02-13,AMD,81.5700$,84.1500$,80.9000$,83.1300$,45400008$
2023-02-14,SK하이닉스,91800₩,93500₩,91600₩,93400₩,2185525₩
2023-02-14,AMD,82.7000$,86.1850$,81.7672$,85.9500$,55979653$
2023-02-14,NVIDIA,21.5657$,23.0356$,21.3538$,22.9579$,67547350$
2023-02-14,삼성전자,63600₩,63900₩,63200₩,63200₩,9126664₩
2023-02-15,AMD,85.1000$,85.8900$,83.3200$,85.1800$,46483152$
2023-02-15,NVIDIA,22.5361$,22.8419$,22.0934$,22.7510$,42118826$
2023-02-15,삼성전자,63900₩,63900₩,62000₩,62200₩,13208103₩
2023-02-15,SK하이닉스,93800₩,94200₩,91200₩,91700₩,1801577₩
2023-02-16,AMD,82.9800$,83.3500$,80.0500$,80.0800$,57755166$
2023-02-16,NVIDIA,22.1203$,22.5371$,21.9143$,21.9894$,41202628$
2023-02-16,삼성전자,62500₩,63700₩,62400₩,63700₩,13798831₩
2023-02-16,SK하이닉스,91900₩,93400₩,91600₩,92900₩,1812496₩
2023-02-17,SK하이닉스,91400₩,92700₩,90900₩,92000₩,1691509₩
2023-02-17,NVIDIA,21.6186$,21.7276$,20.9630$,21.3758$,46588764$
2023-02-17,삼성전자,62900₩,63300₩,62400₩,62600₩,10791265₩
2023-02-17,AMD,79.6000$,79.6498$,77.3700$,78.5000$,47826602$
2023-02-20,SK하이닉스,92700₩,93300₩,90700₩,92500₩,1774617₩
2023-02-20,삼성전자,62900₩,63000₩,61800₩,62700₩,12908073₩
2023-02-21,NVIDIA,20.9880$,21.4815$,20.6062$,20.6432$,41001455$
2023-02-21,삼성전자,62700₩,62800₩,62000₩,62100₩,7665046₩
2023-02-21,AMD,77.1500$,78.4550$,76.4500$,76.7700$,44045643$
2023-02-21,SK하이닉스,92500₩,92600₩,90900₩,91200₩,1477419₩
2023-02-22,삼성전자,61500₩,61800₩,61000₩,61100₩,11959088₩
2023-02-22,AMD,76.9300$,78.1299$,75.9201$,76.6100$,50286804$
2023-02-22,NVIDIA,20.6952$,21.0919$,20.4093$,20.7421$,51318432$
2023-02-22,SK하이닉스,89900₩,90300₩,88500₩,89100₩,2301835₩
2023-02-23,AMD,80.6300$,81.7900$,77.9650$,79.7500$,76391342$
2023-02-23,SK하이닉스,90000₩,93700₩,89600₩,92700₩,3659678₩
2023-02-23,NVIDIA,23.4266$,23.8743$,23.0118$,23.6505$,111799541$
2023-02-23,삼성전자,61700₩,62500₩,61500₩,62000₩,13047099₩
2023-02-24,SK하이닉스,93500₩,94000₩,91000₩,91000₩,2496352₩
2023-02-24,NVIDIA,23.2117$,23.4606$,22.9339$,23.2727$,58971591$
2023-02-24,삼성전자,62300₩,62600₩,61300₩,61300₩,10308143₩
2023-02-24,AMD,77.7500$,78.8100$,76.9400$,78.0900$,46700007$
2023-02-27,NVIDIA,23.6565$,23.8663$,23.4406$,23.4876$,45299367$
2023-02-27,AMD,79.6400$,80.1200$,78.5300$,78.7700$,45617297$
2023-02-27,SK하이닉스,90100₩,90300₩,89100₩,90000₩,1893345₩
2023-02-27,삼성전자,60800₩,60800₩,60200₩,60500₩,11155697₩
2023-02-28,삼성전자,60800₩,61400₩,60500₩,60600₩,13715861₩
2023-02-28,AMD,77.8720$,80.1400$,77.4200$,78.5800$,44220135$
2023-02-28,SK하이닉스,91000₩,91000₩,88700₩,89400₩,2082486₩
2023-02-28,NVIDIA,23.3586$,23.8114$,23.1927$,23.2027$,45596280$
2023-03-01,AMD,78.5500$,80.2869$,77.8813$,78.2900$,44265984$
2023-03-01,NVIDIA,23.1787$,23.2423$,22.4951$,22.6850$,46002562$
2023-03-02,SK하이닉스,89400₩,90300₩,87500₩,88100₩,2744038₩
2023-03-02,NVIDIA,22.4751$,23.3670$,22.4192$,23.3007$,39007465$
2023-03-02,삼성전자,60900₩,61800₩,60500₩,60800₩,13095682₩
2023-03-02,AMD,77.5700$,80.9200$,76.6500$,80.4400$,60185875$
2023-03-03,SK하이닉스,88500₩,89200₩,87200₩,87300₩,2239958₩
2023-03-03,NVIDIA,23.3067$,23.8863$,23.1168$,23.8763$,41239330$
2023-03-03,삼성전자,61000₩,61200₩,60500₩,60500₩,10711405₩
2023-03-03,AMD,80.4000$,81.6300$,79.3400$,81.5200$,54536217$
2023-03-06,삼성전자,61100₩,61600₩,60800₩,61500₩,13630602₩
2023-03-06,AMD,82.0300$,83.2986$,81.0400$,81.1600$,54541281$
2023-03-06,SK하이닉스,87900₩,89800₩,87500₩,89700₩,2374415₩
2023-03-06,NVIDIA,23.8773$,24.2341$,23.4736$,23.5405$,43742923$
2023-03-07,NVIDIA,23.5905$,24.1153$,23.2317$,23.2786$,51515388$
2023-03-07,SK하이닉스,89700₩,90000₩,88800₩,88900₩,1610948₩
2023-03-07,삼성전자,61400₩,61400₩,60700₩,60700₩,11473280₩
2023-03-07,AMD,81.0700$,84.8500$,80.6650$,82.1100$,70959009$
2023-03-08,NVIDIA,23.4776$,24.1903$,23.4141$,24.1713$,51357339$
2023-03-08,SK하이닉스,87700₩,87800₩,86400₩,86800₩,2790989₩
2023-03-08,AMD,82.7900$,85.7700$,82.2800$,85.3700$,69529838$
2023-03-08,삼성전자,60100₩,60500₩,59900₩,60300₩,14161857₩
2023-03-09,NVIDIA,24.1653$,24.4442$,23.3734$,23.4266$,50125699$
2023-03-09,AMD,85.2900$,87.8100$,83.5900$,84.0300$,79496691$
2023-03-09,삼성전자,60500₩,60800₩,59900₩,60100₩,14334499₩
2023-03-09,SK하이닉스,87300₩,87800₩,85300₩,85600₩,3315016₩
2023-03-10,SK하이닉스,83800₩,84400₩,83100₩,83300₩,3559824₩
2023-03-10,NVIDIA,23.3996$,23.6175$,22.7169$,22.9558$,47486565$
2023-03-10,삼성전자,59500₩,59700₩,59100₩,59500₩,11902471₩
2023-03-10,AMD,84.4700$,85.4500$,81.6300$,82.6700$,70273562$
2023-03-13,NVIDIA,22.7429$,23.2886$,22.2880$,22.9568$,42189032$
2023-03-13,SK하이닉스,83200₩,84700₩,82400₩,84300₩,2860341₩
2023-03-13,AMD,81.3900$,83.8300$,78.5150$,82.0100$,65269120$
2023-03-13,삼성전자,59900₩,60200₩,59300₩,60000₩,12779724₩
2023-03-14,삼성전자,59400₩,59500₩,59000₩,59000₩,12147346₩
2023-03-14,SK하이닉스,82600₩,83000₩,81100₩,81100₩,3359381₩
2023-03-14,AMD,83.6700$,88.3000$,83.5900$,87.4500$,66616320$
2023-03-14,NVIDIA,23.4866$,24.2093$,23.4506$,24.0533$,47491013$
2023-03-15,AMD,86.7700$,90.4200$,86.2150$,89.6800$,86177424$
2023-03-15,삼성전자,60000₩,60300₩,59600₩,59800₩,10482149₩
2023-03-15,NVIDIA,23.7514$,24.2762$,23.3506$,24.2183$,52448574$
2023-03-15,SK하이닉스,81900₩,82300₩,78800₩,79100₩,5357314₩
2023-03-16,AMD,89.7200$,96.6900$,89.0200$,96.6000$,115980649$
2023-03-16,NVIDIA,24.0173$,25.5777$,23.8844$,25.5307$,58494626$
2023-03-16,삼성전자,59200₩,60200₩,59100₩,59900₩,10611939₩
2023-03-16,SK하이닉스,76700₩,80200₩,76700₩,79000₩,4804196₩
2023-03-17,AMD,96.6600$,98.7500$,95.9364$,97.8400$,94080842$
2023-03-17,NVIDIA,25.9716$,26.3884$,25.6577$,25.7147$,84854656$
2023-03-17,SK하이닉스,81200₩,84800₩,81100₩,84000₩,6239588₩
2023-03-17,삼성전자,60800₩,61300₩,60600₩,61300₩,14090110₩
2023-03-20,AMD,96.3000$,96.9400$,92.9000$,96.8100$,92008949$
2023-03-20,NVIDIA,25.6047$,26.0135$,25.1197$,25.8896$,43274719$
2023-03-20,SK하이닉스,83800₩,85100₩,83000₩,83700₩,2223378₩
2023-03-20,삼성전자,61100₩,61200₩,60200₩,60200₩,9618009₩
2023-03-21,SK하이닉스,84100₩,85100₩,82900₩,83600₩,1880231₩
2023-03-21,AMD,97.0000$,99.4646$,93.6400$,95.9300$,85285333$
2023-03-21,NVIDIA,26.1695$,26.3814$,25.3708$,26.1885$,54740776$
2023-03-21,삼성전자,60500₩,60700₩,60100₩,60300₩,8318514₩
2023-03-22,NVIDIA,26.4144$,27.5779$,26.2265$,26.4574$,79729511$
2023-03-22,AMD,95.6500$,101.7000$,95.6400$,97.5800$,110816317$
2023-03-22,SK하이닉스,85200₩,87300₩,83800₩,86900₩,2667268₩
2023-03-22,삼성전자,61000₩,61200₩,60500₩,61100₩,8978591₩
2023-03-23,삼성전자,60600₩,62300₩,60600₩,62300₩,15381057₩
2023-03-23,SK하이닉스,85400₩,88500₩,85100₩,88500₩,3091673₩
2023-03-23,AMD,100.0500$,102.4300$,98.6710$,100.2800$,84088899$
2023-03-23,NVIDIA,27.1046$,27.4879$,26.6793$,27.1801$,56488876$
2023-03-24,AMD,99.1800$,99.5200$,96.7400$,97.9500$,64743698$
2023-03-24,SK하이닉스,89100₩,90700₩,86700₩,87300₩,4670908₩
2023-03-24,삼성전자,62700₩,63300₩,62300₩,63000₩,18278602₩
2023-03-24,NVIDIA,27.0201$,27.1561$,26.3444$,26.7682$,45541407$
2023-03-27,삼성전자,62600₩,62800₩,62000₩,62100₩,11039331₩
2023-03-27,AMD,98.0200$,98.9300$,95.4250$,96.6100$,57461354$
2023-03-27,SK하이닉스,87500₩,87800₩,84700₩,85500₩,3211190₩
2023-03-27,NVIDIA,26.8262$,26.9891$,26.3544$,26.5203$,36102574$
2023-03-28,SK하이닉스,85300₩,88700₩,85200₩,88400₩,3180431₩
2023-03-28,AMD,96.7700$,96.9400$,92.8700$,94.5600$,59150100$
2023-03-28,NVIDIA,26.4364$,26.5023$,25.8396$,26.3994$,35610378$
2023-03-28,삼성전자,62400₩,62900₩,62100₩,62900₩,11614118₩
2023-03-29,NVIDIA,26.8142$,27.0671$,26.5863$,26.9732$,39369387$
2023-03-29,삼성전자,62500₩,62700₩,62200₩,62700₩,11216008₩
2023-03-29,SK하이닉스,87400₩,88700₩,86500₩,86900₩,3070422₩
2023-03-29,AMD,96.0700$,96.9100$,94.8700$,96.0900$,55325974$
2023-03-30,SK하이닉스,89900₩,90500₩,87700₩,88800₩,4264354₩
2023-03-30,삼성전자,63700₩,63700₩,63100₩,63200₩,15684377₩
2023-03-30,AMD,98.0000$,99.5300$,97.2500$,97.8800$,59678531$
2023-03-30,NVIDIA,27.2181$,27.4879$,27.0911$,27.3720$,36451574$
2023-03-31,SK하이닉스,89200₩,89500₩,87600₩,88600₩,2676327₩
2023-03-31,NVIDIA,27.1291$,27.8231$,27.0941$,27.7658$,43393277$
2023-03-31,AMD,96.3400$,98.3600$,95.2700$,98.0100$,55861066$
2023-03-31,삼성전자,64000₩,64000₩,63700₩,64000₩,14094479₩
2023-04-03,삼성전자,64000₩,64000₩,63000₩,63100₩,11973133₩
2023-04-03,SK하이닉스,89700₩,89700₩,86600₩,87200₩,2502220₩
2023-04-03,NVIDIA,27.4979$,27.9887$,27.3250$,27.9538$,39871560$
2023-04-03,AMD,96.6950$,96.7900$,94.8100$,96.5600$,50655332$
2023-04-04,NVIDIA,27.9548$,27.9887$,27.2960$,27.4420$,36859153$
2023-04-04,AMD,97.0380$,97.2700$,95.2100$,95.8700$,43195876$
2023-04-04,SK하이닉스,85700₩,85900₩,83700₩,84500₩,16808036₩
2023-04-04,삼성전자,63400₩,63800₩,62800₩,63600₩,11120514₩
2023-04-05,NVIDIA,26.8182$,26.9871$,26.3844$,26.8702$,51501474$
2023-04-05,AMD,94.3500$,94.5000$,91.3600$,92.5600$,52979281$
2023-04-05,삼성전자,63700₩,64000₩,63400₩,63900₩,9176149₩
2023-04-05,SK하이닉스,84300₩,85700₩,84100₩,84600₩,4380498₩
2023-04-06,AMD,91.4700$,92.9148$,90.6200$,92.4700$,47778378$
2023-04-06,NVIDIA,26.5733$,27.0691$,26.4164$,27.0261$,39765434$
2023-04-06,삼성전자,63500₩,63600₩,62300₩,62300₩,14992747₩
2023-04-06,SK하이닉스,83900₩,84700₩,82700₩,83800₩,5379170₩
2023-04-07,SK하이닉스,87900₩,89400₩,86000₩,89100₩,10867359₩
2023-04-07,삼성전자,63800₩,65200₩,63800₩,65000₩,27476120₩
2023-04-10,SK하이닉스,88700₩,92500₩,88500₩,90700₩,5387514₩
2023-04-10,NVIDIA,26.8122$,27.6099$,26.6583$,27.5679$,39527855$
2023-04-10,삼성전자,64800₩,66300₩,64700₩,65700₩,18777166₩
2023-04-10,AMD,91.3200$,95.7950$,91.0200$,95.4800$,52536324$
2023-04-11,AMD,96.0600$,96.0700$,92.6900$,94.0300$,51935800$
2023-04-11,SK하이닉스,90700₩,92200₩,89900₩,91800₩,5001836₩
2023-04-11,삼성전자,66200₩,66200₩,65400₩,65900₩,16323183₩
2023-04-11,NVIDIA,27.7124$,27.7788$,27.1151$,27.1581$,31437817$
2023-04-12,NVIDIA,27.3590$,27.4569$,26.4369$,26.4844$,44625895$
2023-04-12,삼성전자,65800₩,66200₩,65300₩,66000₩,15021313₩
2023-04-12,SK하이닉스,91900₩,92000₩,89700₩,90300₩,4751001₩
2023-04-12,AMD,94.9700$,95.0000$,91.7400$,92.3300$,53383124$
2023-04-13,SK하이닉스,89500₩,90300₩,88200₩,88700₩,4907552₩
2023-04-13,AMD,92.7900$,93.1600$,91.8300$,92.0900$,40572482$
2023-04-13,NVIDIA,26.7233$,26.8761$,26.3184$,26.4524$,35361528$
2023-04-13,삼성전자,65600₩,66100₩,65400₩,66100₩,15091022₩
2023-04-14,NVIDIA,26.4933$,26.8722$,26.2095$,26.7472$,39566013$
2023-04-14,AMD,91.8200$,92.9700$,90.5000$,91.7500$,38734794$
2023-04-14,SK하이닉스,90100₩,90300₩,88600₩,89300₩,2324722₩
2023-04-14,삼성전자,66600₩,66600₩,65000₩,65100₩,16176490₩
2023-04-17,AMD,90.2300$,90.6900$,88.3000$,89.8700$,47250782$
2023-04-17,SK하이닉스,89000₩,89000₩,87700₩,88500₩,1877825₩
2023-04-17,NVIDIA,26.5548$,26.9951$,26.4226$,26.9911$,32147130$
2023-04-17,삼성전자,65000₩,65600₩,64700₩,65300₩,13486618₩
2023-04-18,NVIDIA,27.5224$,28.0987$,27.3460$,27.6559$,60481154$
2023-04-18,SK하이닉스,89300₩,89300₩,87300₩,87600₩,1763334₩
2023-04-18,삼성전자,65900₩,66000₩,64800₩,65600₩,14802060₩
2023-04-18,AMD,91.6100$,92.1600$,89.3300$,89.7800$,46246286$
2023-04-19,NVIDIA,27.3500$,27.9887$,27.2211$,27.9198$,35866041$
2023-04-19,SK하이닉스,88000₩,88500₩,86600₩,88200₩,2024519₩
2023-04-19,삼성전자,65500₩,65800₩,65300₩,65500₩,10255985₩
2023-04-19,AMD,88.5100$,90.5400$,88.2200$,89.9400$,37344502$
2023-04-20,NVIDIA,27.6599$,28.0187$,26.9891$,27.0931$,42771326$
2023-04-20,삼성전자,65100₩,65300₩,64600₩,65300₩,9501169₩
2023-04-20,AMD,88.8250$,91.5795$,88.7300$,90.1100$,47082684$
2023-04-20,SK하이닉스,86600₩,88400₩,86200₩,87700₩,1746001₩
2023-04-21,NVIDIA,26.9412$,27.1721$,26.7113$,27.1081$,34510277$
2023-04-21,AMD,89.8000$,89.8000$,88.0550$,88.4300$,41118264$
2023-04-21,SK하이닉스,87700₩,89800₩,87200₩,89100₩,2624982₩
2023-04-21,삼성전자,65800₩,65900₩,65400₩,65700₩,10538622₩
2023-04-24,AMD,88.1100$,88.6400$,86.3400$,87.5700$,40423789$
2023-04-24,NVIDIA,27.0021$,27.3550$,26.6603$,27.0311$,33928186$
2023-04-24,삼성전자,65300₩,65700₩,64800₩,65200₩,12986581₩
2023-04-24,SK하이닉스,88100₩,88800₩,87000₩,87200₩,2054455₩
2023-04-25,AMD,86.9000$,87.0600$,83.7600$,83.8000$,52771477$
2023-04-25,SK하이닉스,87500₩,87800₩,83700₩,85500₩,4096411₩
2023-04-25,삼성전자,65300₩,65400₩,63400₩,63600₩,16193271₩
2023-04-25,NVIDIA,27.0671$,27.2360$,26.2145$,26.2305$,37852716$
2023-04-26,AMD,86.5100$,87.3500$,85.3200$,85.9400$,47786564$
2023-04-26,삼성전자,63600₩,64300₩,63300₩,64100₩,12664541₩
2023-04-26,SK하이닉스,86400₩,88700₩,86200₩,87400₩,3240654₩
2023-04-26,NVIDIA,26.9911$,27.3190$,26.6944$,26.9452$,40633681$
2023-04-27,AMD,86.4100$,87.5650$,84.0900$,87.4400$,53087213$
2023-04-27,삼성전자,64100₩,65000₩,63300₩,64600₩,14779601₩
2023-04-27,SK하이닉스,87900₩,89200₩,86000₩,88800₩,2980163₩
2023-04-27,NVIDIA,27.3520$,27.4839$,26.6143$,27.2151$,37716119$
2023-04-28,삼성전자,65200₩,65900₩,65000₩,65500₩,19699480₩
2023-04-28,SK하이닉스,90800₩,91400₩,88700₩,89500₩,3737493₩
2023-04-28,NVIDIA,27.2141$,27.7468$,27.0606$,27.7378$,29221614$
2023-04-28,AMD,87.0200$,89.7500$,86.4400$,89.3700$,50686053$
2023-05-01,NVIDIA,27.8288$,29.0468$,27.7688$,28.8984$,57032853$
2023-05-01,AMD,91.0300$,91.0400$,88.6100$,89.6900$,59358710$
2023-05-02,삼성전자,66000₩,66300₩,65100₩,65700₩,14396948₩
2023-05-02,AMD,89.3200$,90.4550$,88.1200$,89.9100$,70483508$
2023-05-02,SK하이닉스,90900₩,90900₩,88900₩,90200₩,2427349₩
2023-05-02,NVIDIA,28.6685$,28.8244$,28.0717$,28.1987$,40272957$
2023-05-03,AMD,83.5400$,85.4800$,81.0200$,81.6200$,109482172$
2023-05-03,NVIDIA,27.8288$,28.3556$,27.4610$,27.7908$,38338740$
2023-05-03,삼성전자,65100₩,65600₩,64900₩,65400₩,8876749₩
2023-05-03,SK하이닉스,89000₩,90300₩,88600₩,89800₩,1779615₩
2023-05-04,AMD,81.5700$,91.6400$,81.1100$,86.6100$,122840488$
2023-05-04,삼성전자,65600₩,65700₩,64700₩,65100₩,9791064₩
2023-05-04,NVIDIA,27.6399$,27.8478$,27.2291$,27.5509$,32185041$
2023-05-04,SK하이닉스,88900₩,89600₩,87500₩,88700₩,1794303₩
2023-05-05,NVIDIA,27.8143$,28.7434$,27.7199$,28.6685$,36149408$
2023-05-05,AMD,84.9900$,90.4250$,84.7200$,89.8400$,78491108$
